midi_name,game_name,key_signature,harmonic_reduction
1-07_Hurry_Awe.mid,sonic1,e- minor,"['-ii', '-ii', '-ii', '-ii', '-VI', '-v', 'v', 'i', 'iv', 'iv', '-VI', '-v', 'iii42', 'iii42', 'iii42', '-ii7', 'ii42', 'III42', 'ii', 'v', 'i', 'i', 'ii42', 'III42', 'ii', 'ii', 'ii7', 'iv7', 'III7', 'III', 'iii65', '-ii', 'i', '-I', 'ii7', 'iv7', 'III7', 'III', 'iii65', '-ii', 'i', '-I', 'i53', 'i53', 'i53', 'i53', 'i']"
1-09-ShinRa-Company-Xg.mid,sonic1,E- major,"['-', '#vi', '#vi', '#vi', '#vi', '#vi', '#vi', '#vi', '#vi', 'vi42', 'iii', 'v7', 'v7', 'v', '#ii', 'v', 'v', 'vi', 'iii', '#iv42', '#iv42', 'iii53', '#ii', 'iii53', 'iii53', 'vi42', 'iii', 'v7', 'v7', 'v', '#ii', 'v', 'v', 'vi', 'iii', '#iv42', '#iv42', 'iii53', '#ii', 'iii53', 'iii53', 'v', 'vi42', 'v', 'v', 'v', '#ii', 'v', 'v', 'iii53', '#iv42', 'iii', 'iii', 'I7', '#iv', 'I53', 'I53', 'I53', 'I53', 'I53', 'I53']"
1-09_ShinRa_Company_Awe.mid,sonic1,E- major,"['#vi', '#vi', '#vi', '#vi', '#vi', '#vi', '#vi', '#vi', 'vi42', 'iii', 'v43', 'II53', 'v', '#ii53', 'v', 'v', 'vi', 'iii', 'iii', '#iv42', 'iii53', '#ii65', 'iii53', 'iii53', 'vi42', 'iii', 'v43', 'II53', 'v', '#ii53', 'v', 'v', 'vi', 'iii', 'iii', '#iv42', 'iii53', '#ii65', 'iii53', 'iii53', 'v', 'vi42', 'v', 'v', 'v', '#ii', 'v', 'v', 'iii53', '#iv42', 'iii', 'iii', 'I7', '#iv', 'I53', 'I53', 'I53', 'I53', 'I53', 'I53']"
1-10-Fighting-Xg.mid,sonic1,b- minor,"['-', 'v', 'v', 'v', '#v7', '##vi42', 'iv', 'v', 'v7', 'v', 'ii65', 'v', '##vi42', 'i', '##vi65', 'v', 'v7', 'v', '#v7', 'v', 'ii65', 'v', '##vi42', 'i', '##vi65', 'v', 'v7', 'v', '#v7', 'v', 'v7', 'v', 'v7', 'v', '#ii', 'v', 'iv', 'i', 'i', '#ii42', '#ii42', 'v', 'v', '#ii', '#ii', 'IV', 'IV53', '##vi42', '##vi42', 'v', 'v', 'IV', 'IV', 'v', 'ii', 'v', '#v7', '##vi42', 'iv', 'v', '#v7']"
1-11_Fanfare_Awe.mid,sonic1,f minor,"['-', 'III53', 'vi43', 'iii', '#iv7', 'iii', 'III', 'vi', '#iv7', '#iii65', '#iii65', 'V7', 'V7']"
1-13-Turks-Theme-Xg.mid,sonic1,G major,"['-', '-', '-', '-', '-', 'vi', 'vi', 'vi', 'v42', 'vi7', 'vi7', '-VI7', 'i42', '-VI', '-VI', '-VI7', 'v42', 'vi7', 'vi7', '-VI7', 'ii42', 'ii', 'ii', '-VI7', 'v42', 'vi7', 'vi7', '-VI7', '-VI7', 'ii65', 'ii65', 'ii65', 'ii65', 'i', 'i', 'ii65', 'ii65', 'ii65', 'ii65', 'ii65', 'ii65', 'i', 'i', 'ii65', 'ii65', 'ii65', 'ii65', 'ii65', 'ii65', 'i', 'i', 'ii65', 'ii65']"
1-13kb.mid,sonic1,F major,"['vi42', 'vi42', 'vi42', 'vi42', 'vi42', 'V', 'V53', 'vi42', 'I64', 'IV53', 'i', 'i', 'vi42', 'V53', 'V53', 'vi42', 'I64', 'IV53', 'i', 'i', 'vi42', 'V', 'V53', 'vi42', 'I64', 'IV53', 'i', 'i', 'vi42', 'V53', 'V53', 'vi42', 'vi42', 'IV53', 'i', 'i', 'vi42', 'V42', 'V53', 'vi43', 'I53', '#iv', 'vi42', 'i', 'vi42', 'V53', 'V53', 'vi42', 'vi42', 'IV53', 'i', 'i', 'i']"
1-17_Who_Are_You_Awe.mid,sonic1,g minor,"['v42', 'v42', 'v42', 'I', 'iv42', 'iv42', 'v42', 'v42', 'v42', 'I', 'iv42', 'iv42', 'ii7', 'i', 'i', '-iii', 'iii', 'iii', 'iv']"
1-2-3-4--Sumpin'-New.mid,sonic1,F major,"['-', '-', '-', '-vii', 'V65', 'v42', 'V65', '-III', 'v42', 'v42', 'V65', '-III7', 'iii', 'iii', 'vi', 'I7', 'iii', 'iii', 'vi', 'I7', 'v42', 'V7', 'v7', '-VII64', 'v42', 'V7', 'v7', 'v42', 'iii', 'iii7', 'iii', '-III', 'iii7', 'iii7', 'iii', '-III', 'V7', 'V7', 'IV', 'V', 'V7', 'V7', 'IV', 'V', 'v42', 'iii', 'v7', '-VII', 'v42', 'iii', 'v7', '-VII', 'V65', 'v42', 'V65', '-III', 'v42', 'v42', 'V65', '-III', 'iii', 'iii', 'vi', 'I7', 'iii', 'iii', 'vi', 'I7', 'IV65', 'vii42', 'vii42', 'vii42', 'v42', 'V7', 'v7', 'v42', 'iii', 'iii7', 'iii', '-III', 'iii7', 'iii7', 'iii', '-III', 'V7', 'V7', 'IV', 'V', 'vii42', 'vii42', 'vii42', '-vii']"
1-2-3.mid,sonic1,G major,"['-', '-', '-', '-', 'iv', 'iii', 'i', 'v42', 'i', 'iii', 'i', 'v42', 'i', 'iii', 'I7', 'i', 'iii7', 'IV53', 'iii6', 'i', 'iii7', 'ii7', 'vi42', 'iii7', 'v42', 'ii7', 'vi42', 'iii7', 'IV7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'ii7', 'iii7', 'ii7', 'I7', 'i', 'iii7', 'IV53', 'iii6', 'i', 'iii7', 'ii7', 'vi42', 'iii7', 'v42', 'ii7', 'vi42', 'iii7', 'IV7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'vi65', 'I7', 'i', 'iii7', 'IV', 'iii6', 'i', 'iii7', 'IV', 'IV7', 'iii7', '-III7', 'ii7', 'IV7', 'iii7', 'IV7', 'i', 'V', 'IV', 'iii7', 'IV64', 'i7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'vi65', 'iii7', 'IV', 'iii7', 'IV64', 'iii7', 'IV', 'iii7', 'vi65', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'IV', 'iii7', 'vi65', 'vi65', 'vi65']"
